fam	genome
RLC04022	b73
RLC04024	b73
RLC04057	b73
RLC04063	b73
RLC04070	b73
RLC04081	b73
RLC04093	b73
RLC04095	b73
RLC04131	b73
RLC04148	b73
RLC04162	b73
RLC04169	b73
RLC04171	b73
RLC04176	b73
RLC04192	b73
RLC04195	b73
RLC04200	b73
RLC04203	b73
RLC04205	b73
RLC04214	b73
RLC04218	b73
RLC04221	b73
RLC04233	b73
RLC04234	b73
RLC04270	b73
RLC04298	b73
RLC04301	b73
RLC04304	b73
RLC04316	b73
RLC04317	b73
RLC04326	b73
RLC04329	b73
RLC04341	b73
RLC04355	b73
RLC04356	b73
RLC04361	b73
RLC04362	b73
RLC04374	b73
RLC04377	b73
RLC04379	b73
RLC04391	b73
RLC04405	b73
RLC04410	b73
RLC04418	b73
RLC04420	b73
RLC04422	b73
RLC04433	b73
RLC04437	b73
RLC04439	b73
RLC04441	b73
RLC04443	b73
RLC04445	b73
RLC04451	b73
RLC04452	b73
RLC04456	b73
RLC04458	b73
RLC04461	b73
RLC04465	b73
RLC04467	b73
RLC04469	b73
RLC04470	b73
RLC04476	b73
RLC04488	b73
RLC04490	b73
RLC04492	b73
RLC04494	b73
RLC04499	b73
RLC04506	b73
RLC04508	b73
RLC04513	b73
RLC04515	b73
RLC04518	b73
RLC04519	b73
RLC04520	b73
RLC04522	b73
RLC04523	b73
RLC04524	b73
RLC04527	b73
RLC04531	b73
RLC04536	b73
RLC04541	b73
RLC04542	b73
RLC04550	b73
RLC04559	b73
RLC04564	b73
RLC04566	b73
RLC04571	b73
RLC04577	b73
RLC04580	b73
RLC04581	b73
RLC04582	b73
RLC04586	b73
RLC04587	b73
RLC04590	b73
RLC04594	b73
RLC04595	b73
RLC04597	b73
RLC04607	b73
RLC04608	b73
RLC04609	b73
RLC04610	b73
RLC04613	b73
RLC04614	b73
RLC04615	b73
RLC04631	b73
RLC04635	b73
RLC04646	b73
RLC04657	b73
RLC04666	b73
RLC04667	b73
RLC04670	b73
RLC04671	b73
RLC04672	b73
RLC04673	b73
RLC04675	b73
RLC04678	b73
RLC04685	b73
RLC04687	b73
RLC04690	b73
RLC04702	b73
RLC04708	b73
RLC04710	b73
RLC04716	b73
RLC04723	b73
RLC04725	b73
RLC04732	b73
RLC04734	b73
RLC04751	b73
RLC04755	b73
RLC04766	b73
RLC04767	b73
RLC04777	b73
RLC04787	b73
RLC04794	b73
RLC04796	b73
RLC04797	b73
RLC04799	b73
RLC04801	b73
RLC04802	b73
RLC04804	b73
RLC04809	b73
RLC04811	b73
RLC04812	b73
RLC04843	b73
RLC04858	b73
RLC04912	b73
RLC04915	b73
RLC04927	b73
RLC04929	b73
RLC04954	b73
RLC04983	b73
RLC04984	b73
RLC04985	b73
RLC05009	b73
RLC05014	b73
RLC05053	b73
RLC05060	b73
RLC05064	b73
RLC05073	b73
RLC05077	b73
RLC05085	b73
RLC05090	b73
RLC05093	b73
RLC05094	b73
RLC05096	b73
RLC05103	b73
RLC05117	b73
RLC05123	b73
RLC05138	b73
RLC05167	b73
RLC05170	b73
RLC05190	b73
RLC05201	b73
RLC05206	b73
RLC05219	b73
RLC05227	b73
RLC05235	b73
RLC05236	b73
RLC05254	b73
RLC05265	b73
RLC05271	b73
RLC05295	b73
RLC05312	b73
RLC05331	b73
RLC05348	b73
RLC05360	b73
RLC05386	b73
RLC05387	b73
RLC05390	b73
RLC05394	b73
RLC05406	b73
RLC05409	b73
RLC05430	b73
RLC05441	b73
RLC05444	b73
RLC05549	b73
RLC05555	b73
RLC05572	b73
RLC05581	b73
RLC05591	b73
RLC05597	b73
RLC05649	b73
RLC05657	b73
RLC05660	b73
RLC05662	b73
RLC05665	b73
RLC05681	b73
RLC05697	b73
RLC05700	b73
RLC05702	b73
RLC05704	b73
RLC05720	b73
RLC05722	b73
RLC05732	b73
RLC05742	b73
RLC05780	b73
RLC05793	b73
RLC05794	b73
RLC05810	b73
RLC05811	b73
RLC05816	b73
RLC05819	b73
RLC05823	b73
RLC05834	b73
RLC05840	b73
RLC05864	b73
RLC05866	b73
RLC05874	b73
RLC05883	b73
RLC05885	b73
RLC05887	b73
RLC05893	b73
RLC05908	b73
RLC05910	b73
RLC05930	b73
RLC05932	b73
RLC05948	b73
RLC05953	b73
RLC05957	b73
RLC05969	b73
RLC05971	b73
RLC05977	b73
RLC05988	b73
RLC05995	b73
RLC05999	b73
RLC06001	b73
RLC06008	b73
RLC06022	b73
RLC06027	b73
RLC06029	b73
RLC06034	b73
RLC06043	b73
RLC06058	b73
RLC06065	b73
RLC06079	b73
RLC06080	b73
RLC06083	b73
RLC06086	b73
RLC06089	b73
RLC06094	b73
RLC06095	b73
RLC06101	b73
RLC06189	b73
RLC06196	b73
RLC06225	b73
RLC06233	b73
RLC06236	b73
RLC06241	b73
RLC06245	b73
RLC06248	b73
RLC06258	b73
RLC06266	b73
RLC06270	b73
RLC06308	b73
RLC06309	b73
RLC06312	b73
RLC06314	b73
RLC06319	b73
RLC06328	b73
RLC06333	b73
RLC06348	b73
RLC06367	b73
RLC06382	b73
RLC06383	b73
RLC06393	b73
RLC06397	b73
RLC06411	b73
RLC06419	b73
RLC06443	b73
RLC06455	b73
RLC06480	b73
RLC06521	b73
RLC06526	b73
RLC06530	b73
RLC06557	b73
RLC06624	b73
RLC06625	b73
RLC06631	b73
RLC06644	b73
RLC06676	b73
RLC06693	b73
RLC06713	b73
RLC06756	b73
RLC06758	b73
RLC06767	b73
RLC06795	b73
RLC06800	b73
RLC06815	b73
RLC06826	b73
RLC06832	b73
RLC06854	b73
RLC06870	b73
RLC06882	b73
RLC06886	b73
RLC06898	b73
RLC06910	b73
RLC06912	b73
RLC06914	b73
RLC06915	b73
RLC06926	b73
RLC06929	b73
RLC06952	b73
RLC06955	b73
RLC06961	b73
RLC06964	b73
RLC06966	b73
RLC06973	b73
RLC06984	b73
RLC06992	b73
RLC07000	b73
RLC07012	b73
RLC07018	b73
RLC07036	b73
RLC07039	b73
RLC07051	b73
RLC07065	b73
RLC07067	b73
RLC07126	b73
RLC07133	b73
RLC07140	b73
RLC07146	b73
RLC07151	b73
RLC07152	b73
RLC07184	b73
RLC07209	b73
RLC07212	b73
RLC07220	b73
RLC07235	b73
RLC07250	b73
RLC07252	b73
RLC07254	b73
RLC07256	b73
RLC07268	b73
RLC07347	b73
RLC07348	b73
RLC07414	b73
RLC07527	b73
RLC07539	b73
RLC07546	b73
RLC07554	b73
RLC07571	b73
RLC07573	b73
RLC07582	b73
RLC07589	b73
RLC07593	b73
RLC07610	b73
RLC07636	b73
RLC07642	b73
RLC07643	b73
RLC07656	b73
RLC07662	b73
RLC07705	b73
RLC07712	b73
RLC07772	b73
RLC07783	b73
RLC07814	b73
RLC07829	b73
RLC07839	b73
RLC07882	b73
RLC07886	b73
RLC07888	b73
RLC07898	b73
RLC07904	b73
RLC07905	b73
RLC07928	b73
RLC07941	b73
RLC07942	b73
RLC07963	b73
RLC07970	b73
RLC07977	b73
RLC07982	b73
RLC07989	b73
RLC08001	b73
RLC08013	b73
RLC08015	b73
